Country,Year,Value
Germany,2020,232.7
Germany,2021,237.9
Greece,2013,168.2
Greece,2014,175.1
Greece,2015,186.7
Greece,2017,214.9
Greece,2018,252.1
Greece,2019,270.2
Greece,2020,300.3
Greece,2021,356.6
Greece,2022,342.4
Hungary,2010,200.9
Hungary,2011,214.2
Hungary,2012,221.9
Hungary,2013,234.6
Hungary,2014,247.8
Hungary,2015,256
Hungary,2016,269.5
Hungary,2017,271.7
Hungary,2018,280.1
Hungary,2019,295.9
Hungary,2020,373.9
Hungary,2021,411.8
Hungary,2022,403.3
Iceland,2010,146.1
Iceland,2011,133
Iceland,2012,137
Iceland,2013,144.5
Iceland,2014,146.7
Iceland,2015,155.3
Iceland,2016,164
Iceland,2017,170.1
Iceland,2018,174.8
Iceland,2019,178.5
Iceland,2020,186.7
Iceland,2021,194.6
Iceland,2022,195.7
Italy,2011,207.6
Italy,2012,218.9
Italy,2013,235
Italy,2014,248.2
Italy,2015,267.5
Italy,2016,287.1
Italy,2017,307.9
Italy,2018,327.2
Italy,2019,334.4
Italy,2020,290
Italy,2021,318.4
Italy,2022,317.6
Korea,2010,278.1
Korea,2011,240.6
Korea,2012,245.7
Korea,2013,330.9
Korea,2014,422.9
Korea,2015,370
Korea,2016,217.5
Korea,2017,219.3
Korea,2018,223.5
Korea,2019,256
Korea,2020,315.9
Korea,2021,325.6
Luxembourg,2010,249.7
Luxembourg,2011,303
Luxembourg,2012,360.4
Luxembourg,2013,396.3
Luxembourg,2014,415.6
Luxembourg,2015,453.4
Luxembourg,2016,465.8
Luxembourg,2017,460.5
Luxembourg,2018,432.6
Luxembourg,2019,446.7
Luxembourg,2020,477.3
Luxembourg,2021,559.1
Luxembourg,2022,516.2
Netherlands,2010,220.1
Netherlands,2011,231.1
Netherlands,2012,233.7
Netherlands,2013,255.2
Netherlands,2014,272.8
Netherlands,2015,289.2
Netherlands,2016,305.8
Netherlands,2017,314.9
Netherlands,2018,319.4
Netherlands,2019,326.7
Netherlands,2020,332.6
Netherlands,2021,337.3
New Zealand,2018,354.3
New Zealand,2019,344.7
New Zealand,2020,325.5
New Zealand,2021,344.7
New Zealand,2022,340
Norway,2010,257.8
Norway,2011,252.4
Norway,2012,256
Norway,2013,257.9
Norway,2014,264.4
Norway,2015,270.6
Norway,2016,279.1
Norway,2017,289
Norway,2018,275.1
Norway,2019,263.1
Norway,2020,269.7
Norway,2021,283.2
Norway,2022,298.9
Portugal,2010,180.7
Portugal,2011,175.5
Portugal,2012,184.1
Portugal,2013,196.7
Portugal,2014,203.1
Portugal,2015,211.7
Portugal,2016,222.5
Portugal,2017,221.9
Portugal,2018,228.4
Portugal,2019,242.6
Portugal,2020,265.5
Portugal,2021,275
Portugal,2022,284.1
Slovak Republic,2010,305.7
Slovak Republic,2011,300
Slovak Republic,2012,283.7
Slovak Republic,2013,321.4
Slovak Republic,2014,335.5
Slovak Republic,2015,356
Slovak Republic,2016,271
Slovak Republic,2017,275.4
Slovak Republic,2018,269.5
Slovak Republic,2019,266.3
Slovak Republic,2020,281.7
Slovak Republic,2021,295.2
Spain,2010,231.1
Spain,2011,235.6
Spain,2012,238
Spain,2013,231.3
Spain,2014,230.8
Spain,2015,235.2
Spain,2016,271.7
Spain,2017,283
Spain,2018,301.1
Spain,2019,312
Spain,2020,268
Spain,2021,286.4
Spain,2022,299.5
Sweden,2010,247.1
Sweden,2011,244
Sweden,2012,243.7
Sweden,2013,248.8
Sweden,2014,252.3
Sweden,2015,259.1
Sweden,2016,263.6
Sweden,2017,265.9
Sweden,2018,268.4
Sweden,2019,275.7
Sweden,2020,277.3
Sweden,2021,275.9
Sweden,2022,283.1
Türkiye,2010,147
Türkiye,2011,170.9
Türkiye,2012,185.4
Türkiye,2013,199.1
Türkiye,2014,224
Türkiye,2015,286.2
Türkiye,2016,332.7
Türkiye,2017,340.6
Türkiye,2018,387.4
Türkiye,2019,392.4
Türkiye,2020,417.3
Türkiye,2021,441.6
United Kingdom,2010,187.3
United Kingdom,2011,196.6
United Kingdom,2012,206.4
United Kingdom,2013,219.3
United Kingdom,2014,226.5
United Kingdom,2015,232
United Kingdom,2016,235.6
United Kingdom,2017,241.8
United Kingdom,2018,242.4
United Kingdom,2019,248.9
United Kingdom,2020,251.8
United Kingdom,2021,271.6
Chile,2011,110.4
Chile,2012,118.6
Chile,2013,138.6
Chile,2014,144.1
Chile,2015,166.5
Chile,2016,105.4
Chile,2017,108.7
Chile,2018,133.5
Chile,2019,141.5
Chile,2020,204.7
Chile,2021,228.5
Chile,2022,249.1
Estonia,2010,115.4
Estonia,2011,122.8
Estonia,2012,135.8
Estonia,2013,143
Estonia,2014,151.6
Estonia,2015,160.3
Estonia,2016,165.9
Estonia,2017,169.8
Estonia,2018,174.3
Estonia,2019,176.8
Estonia,2020,183.8
Estonia,2021,186
Estonia,2022,195.7
Israel,2012,110.7
Israel,2014,148.6
Israel,2015,158.9
Israel,2016,198
Israel,2017,181.3
Israel,2018,173.7
Israel,2019,172.6
Israel,2020,178.8
Israel,2021,176
Israel,2022,182.9
Slovenia,2010,160.6
Slovenia,2011,171.3
Slovenia,2012,177.9
Slovenia,2013,184.4
Slovenia,2014,188.7
Slovenia,2015,198.2
Slovenia,2016,210.3
Slovenia,2017,221.6
Slovenia,2018,233.2
Slovenia,2019,249.7
Slovenia,2020,281.9
Slovenia,2021,300.3
Slovenia,2022,304.1
Austria,2010,0
Austria,2011,0
Austria,2012,0
Austria,2013,0
Austria,2014,0
Austria,2015,0
Austria,2016,0
Austria,2017,0
Austria,2018,0
Austria,2019,0
Austria,2020,0
Austria,2021,0
Czechia,2010,1.4
Czechia,2011,1.3
Czechia,2012,1.1
Czechia,2013,1
Czechia,2014,0.9
Czechia,2015,0.9
Czechia,2016,0.9
Czechia,2017,0.8
Czechia,2018,0.8
Czechia,2019,0.8
Czechia,2020,0.8
Czechia,2021,0.8
Denmark,2010,7
Denmark,2011,7.1
Denmark,2012,7.3
Denmark,2013,7.3
Denmark,2014,7.4
Denmark,2015,7.7
Denmark,2016,8
Denmark,2017,8.3
Denmark,2018,8.6
Denmark,2019,9.1
Denmark,2020,9.8
Denmark,2021,10.6
Finland,2010,2.3
Finland,2011,2.3
Finland,2012,2.3
Finland,2013,2.2
Finland,2014,2.2
Finland,2015,2.2
Finland,2016,2.2
Finland,2017,2.3
Finland,2018,2.2
Finland,2019,2.2
Finland,2020,2.2
Finland,2021,2.3
Germany,2010,0.4
Germany,2011,0.4
Germany,2012,0.4
Germany,2013,0.5
Germany,2014,0.5
Germany,2015,0.6
Germany,2016,0.6
Germany,2017,0.7
Germany,2018,0.7
Germany,2019,0.8
Germany,2020,0.9
Germany,2021,0.9
Hungary,2010,0
Hungary,2011,0
Hungary,2012,0
Hungary,2013,0
Hungary,2014,0
Hungary,2015,0
Hungary,2016,0
Hungary,2017,0
Hungary,2018,0
Hungary,2019,0
Hungary,2020,0
Hungary,2021,0
Hungary,2022,0
Iceland,2010,5.3
Iceland,2011,0.8
Iceland,2012,1
Iceland,2013,1.2
Iceland,2014,1.4
Iceland,2015,1.4
Iceland,2016,1.7
Iceland,2017,1.8
Iceland,2018,1.8
Iceland,2019,2
Iceland,2020,2.1
Iceland,2021,2.3
Iceland,2022,4.5
Italy,2011,1.8
Italy,2012,1.8
Italy,2013,1.8
Italy,2014,1.9
Italy,2015,2
Italy,2016,2
Italy,2017,2
Italy,2018,2
Italy,2019,1.9
Italy,2020,2
Italy,2021,2
Italy,2022,2.6
Korea,2010,2.9
Korea,2011,3.7
Korea,2012,3.6
Korea,2013,4.1
Korea,2014,4.5
Korea,2015,4.7
Korea,2016,3.1
Korea,2017,3.2
Korea,2018,3.5
Korea,2019,3.7
Korea,2020,4.7
Korea,2021,4.8
Netherlands,2010,0
Netherlands,2011,0
Netherlands,2012,0
Netherlands,2013,0
Netherlands,2014,0
Netherlands,2015,0
Netherlands,2016,0
Netherlands,2017,0
Netherlands,2018,0
Netherlands,2019,0
Netherlands,2020,0
Netherlands,2021,0
New Zealand,2018,0
New Zealand,2019,0
New Zealand,2020,0
New Zealand,2021,0
New Zealand,2022,0
Norway,2010,1.6
Norway,2011,1.6
Norway,2012,1.5
Norway,2013,1.5
Norway,2014,1.5
Norway,2015,1.5
Norway,2016,1.5
Norway,2017,1.5
Norway,2018,1.4
Norway,2019,1.4
Norway,2020,1.5
Norway,2021,1.6
Norway,2022,1.5
Portugal,2010,0.4
Portugal,2011,0.3
Portugal,2012,0.3
Portugal,2013,0.2
Portugal,2014,0.2
Portugal,2015,0.2
Portugal,2016,0.2
Portugal,2017,0.2
Portugal,2018,0.2
Portugal,2019,0.2
Portugal,2020,0.2
Portugal,2021,0.2
Portugal,2022,0.2
Slovak Republic,2010,0.8
Slovak Republic,2011,0.8
Slovak Republic,2012,0.7
Slovak Republic,2013,0.7
Slovak Republic,2014,0.7
Slovak Republic,2015,0.7
Slovak Republic,2016,0
Slovak Republic,2017,0
Slovak Republic,2018,0
Slovak Republic,2019,0
Slovak Republic,2020,0
Slovak Republic,2021,0
Spain,2010,2.4
Spain,2011,2.2
Spain,2012,1.4
Sweden,2010,1.8
Sweden,2011,2
Sweden,2012,2
Sweden,2013,2.1
Sweden,2014,2.1
Sweden,2015,2.1
Sweden,2016,2.1
Sweden,2017,2.2
Sweden,2018,2.1
Sweden,2019,2.2
Sweden,2020,2.2
Sweden,2021,2.2
Sweden,2022,2.2
Türkiye,2010,2.5
Türkiye,2011,2.5
Türkiye,2012,2.4
Türkiye,2013,2.2
Türkiye,2014,2.3
Türkiye,2015,2.4
Türkiye,2016,2.2
Türkiye,2017,2.1
Türkiye,2018,2.5
Türkiye,2019,2.5
Türkiye,2020,2.8
Türkiye,2021,2.7
United Kingdom,2010,1
United Kingdom,2011,1
United Kingdom,2012,0.8
United Kingdom,2013,0.6
United Kingdom,2014,0.6
United Kingdom,2015,0.6
United Kingdom,2016,0.5
United Kingdom,2017,0.5
United Kingdom,2018,0.1
United Kingdom,2019,0.1
United Kingdom,2020,0
United Kingdom,2021,0
Chile,2011,0
Chile,2012,0
Chile,2013,0
Chile,2014,0
Chile,2015,0
Chile,2016,0
Chile,2017,0
Chile,2018,0
Chile,2019,0
Chile,2020,0
Chile,2021,0
Chile,2022,0
Estonia,2010,0.9
Estonia,2011,0.9
Estonia,2012,1
Estonia,2013,0.9
Estonia,2014,1
Estonia,2015,1
Estonia,2016,1
Estonia,2017,1
Estonia,2018,1.1
Estonia,2019,1.2
Estonia,2020,1.3
Estonia,2021,1.1
Estonia,2022,1.4
Israel,2012,0.3
Israel,2014,0.2
Israel,2015,0.2
Israel,2016,0.1
Israel,2017,0.1
Israel,2018,0.1
Israel,2019,0.1
Israel,2020,0.1
Israel,2021,0.1
Israel,2022,0.1
Slovenia,2010,0.2
Slovenia,2011,0.2
Slovenia,2012,0.2
Slovenia,2013,0.3
Slovenia,2014,0.4
Slovenia,2015,0.5
Slovenia,2016,0.6
Slovenia,2017,0.6
Slovenia,2018,0.7
Slovenia,2019,0.8
Slovenia,2020,0.8
Slovenia,2021,0.8
Slovenia,2022,0.9
Australia,2010,68.8
Australia,2011,71.5
Australia,2012,73.3
Australia,2013,76.2
Australia,2014,77.8
Australia,2015,77.5
Australia,2016,78
Australia,2017,77.3
Australia,2018,76
Australia,2019,68.3
Australia,2020,62.4
Australia,2021,63.9
Austria,2010,63.7
Austria,2011,66.1
Austria,2012,67.6
Austria,2013,68.8
Austria,2014,68.3
Austria,2015,66.2
Austria,2016,45.9
Austria,2017,35.4
Austria,2018,33.6
Austria,2019,32.1
Austria,2020,30.5
Austria,2021,29.8
Belgium,2010,79.7
Belgium,2011,83.8
Belgium,2012,87.7
Belgium,2013,91.3
Belgium,2014,95.4
Belgium,2015,100.1
Belgium,2016,108.7
Belgium,2017,92.6
Belgium,2018,97.2
Belgium,2019,100
Belgium,2020,99.9
Belgium,2021,102.7
Canada,2010,38.7
Canada,2011,39.7
Canada,2012,40.3
Canada,2013,42.2
Canada,2014,46.7
Canada,2015,48.3
Canada,2016,73.8
Canada,2017,73.2
Canada,2018,73.5
Canada,2019,74
Canada,2020,76.1
Canada,2021,79.3
Canada,2022,77.6
Czechia,2010,51.1
Czechia,2011,55.2
Czechia,2012,58.9
Czechia,2013,60.3
Czechia,2014,65.7
Czechia,2015,69.7
Czechia,2016,73.5
Czechia,2017,74.4
Czechia,2018,75.1
Czechia,2019,79.2
Czechia,2020,78.1
Czechia,2021,81.5
Denmark,2010,51.7
Denmark,2011,55.1
Denmark,2012,58.3
Denmark,2013,60.8
Denmark,2014,63.4
Denmark,2015,66.5
Denmark,2016,68.2
Denmark,2017,68.7
Denmark,2018,68.5
Denmark,2019,69.7
Denmark,2020,72.1
Denmark,2021,74.6
Finland,2010,52.5
Finland,2011,57.1
Finland,2012,60.8
Finland,2013,63.8
Finland,2014,66.4
Finland,2015,65.5
Finland,2016,65.3
Finland,2017,66.1
Finland,2018,67.1
Finland,2019,68.9
Finland,2020,70.8
Finland,2021,72.6
France,2010,62.1
France,2011,68
France,2012,74.2
France,2013,79.7
France,2014,81.8
France,2015,83.9
France,2016,87.6
France,2017,87.4
France,2018,85
France,2019,89.8
France,2020,84.7
France,2021,89.6
Germany,2010,69.5
Germany,2011,75.7
Germany,2012,81.6
Germany,2013,85.9
Germany,2014,90.8
Germany,2015,93.5
Germany,2016,94.7
Germany,2017,88.5
Germany,2018,85.6
Germany,2019,84.2
Germany,2020,83.1
Germany,2021,83.7
Greece,2013,57.8
Greece,2014,57.6
Greece,2015,62.6
Greece,2017,72.1
Greece,2018,74.7
Greece,2019,75.7
Greece,2020,83.2
Greece,2021,88.2
Greece,2022,90.9
Hungary,2010,61
Hungary,2011,65.1
Hungary,2012,63.7
Hungary,2013,57.2
Hungary,2014,62.3
Hungary,2015,67.7
Hungary,2016,69.6
Hungary,2017,71.5
Hungary,2018,76
Hungary,2019,79.1
Hungary,2020,95
Hungary,2021,95.1
Hungary,2022,96.8
Iceland,2010,80.3
Iceland,2011,76.3
Iceland,2012,79.9
Iceland,2013,84
Iceland,2014,86.4
Iceland,2015,91.8
Iceland,2016,98.2
Iceland,2017,102.7
Iceland,2018,106.3
Iceland,2019,109
Iceland,2020,114
Iceland,2021,117.7
Iceland,2022,114.6
Italy,2011,74.1
Italy,2012,80.2
Italy,2013,84.6
Italy,2014,86.6
Italy,2015,84.4
Italy,2016,79.3
Italy,2017,77.9
Italy,2018,77.4
Italy,2019,79.4
Italy,2020,81
Italy,2021,84.3
Italy,2022,83.5
Korea,2010,34.6
Korea,2011,37.8
Korea,2012,39.9
Korea,2013,42.3
Korea,2014,45.2
Korea,2015,46.1
Korea,2016,41.8
Korea,2017,43
Korea,2018,46.8
Korea,2019,61.2
Korea,2020,75.4
Korea,2021,81.5
Luxembourg,2010,72.7
Luxembourg,2011,77.3
Luxembourg,2012,80.7
Luxembourg,2013,82.8
Luxembourg,2014,85.5
Luxembourg,2015,89.4
Luxembourg,2016,90.2
Luxembourg,2017,87.3
Luxembourg,2018,87.2
Luxembourg,2019,88.7
Luxembourg,2020,87.7
Luxembourg,2021,88.5
Luxembourg,2022,81.2
Netherlands,2010,88.3
Netherlands,2011,99.5
Netherlands,2012,94.8
Netherlands,2013,104
Netherlands,2014,110.8
Netherlands,2015,117
Netherlands,2016,124.7
Netherlands,2017,125.1
Netherlands,2018,126.4
Netherlands,2019,128.3
Netherlands,2020,128.8
Netherlands,2021,128.3
New Zealand,2018,98.9
New Zealand,2019,100.1
New Zealand,2020,94.2
New Zealand,2021,103.3
New Zealand,2022,110.2
Norway,2010,45
Norway,2011,47.6
Norway,2012,50.7
Norway,2013,53.1
Norway,2014,56.6
Norway,2015,59.1
Norway,2016,62.8
Norway,2017,65.4
Norway,2018,67.3
Norway,2019,70.3
Norway,2020,72
Norway,2021,74.8
Norway,2022,76.9
Portugal,2010,73
Portugal,2011,73.5
Portugal,2012,78.9
Portugal,2013,90.3
Portugal,2014,92.4
Portugal,2015,94.5
Portugal,2016,96.9
Portugal,2017,92
Portugal,2018,93.2
Portugal,2019,102.8
Portugal,2020,104.3
Portugal,2021,107.9
Portugal,2022,111.9
Slovak Republic,2010,32.7
Slovak Republic,2011,35.8
Slovak Republic,2012,34.9
Slovak Republic,2013,40.6
Slovak Republic,2014,45
Slovak Republic,2015,45.3
Slovak Republic,2016,46.4
Slovak Republic,2017,46.2
Slovak Republic,2018,47.7
Slovak Republic,2019,47.6
Slovak Republic,2020,48.7
Slovak Republic,2021,50.8
Spain,2010,116.5
Spain,2011,120.6
Spain,2012,120.7
Spain,2013,121.8
Spain,2014,125.2
Spain,2015,124.8
Spain,2016,125.6
Spain,2017,123.3
Spain,2018,125.3
Spain,2019,127.2
Spain,2020,128.8
Spain,2021,134.9
Spain,2022,137.8
Sweden,2010,59.7
Sweden,2011,63.8
Sweden,2012,67.8
Sweden,2013,70.7
Sweden,2014,73.1
Sweden,2015,76.8
Sweden,2016,79.8
Sweden,2017,80.8
Sweden,2018,80
Sweden,2019,82.6
Sweden,2020,83
Sweden,2021,85.3
Sweden,2022,87.2
Türkiye,2010,45.9
Türkiye,2011,50.3
Türkiye,2012,53.1
Türkiye,2013,53
Türkiye,2014,54.8
Türkiye,2015,59.6
Türkiye,2016,59.2
Türkiye,2017,66.6
Türkiye,2018,75.8
Türkiye,2019,76.2
Türkiye,2020,76.5
Türkiye,2021,83
United Kingdom,2010,71.4
United Kingdom,2011,77.1
United Kingdom,2012,84.3
United Kingdom,2013,93.2
United Kingdom,2014,98.4
United Kingdom,2015,103.2
United Kingdom,2016,106.1
United Kingdom,2017,109.2
United Kingdom,2018,111.3
United Kingdom,2019,114.3
United Kingdom,2020,115.2
United Kingdom,2021,118.1
Chile,2011,50.5
Chile,2012,58.7
Chile,2013,63.5
Chile,2014,62.1
Chile,2015,73.9
Chile,2016,42.2
Chile,2017,52.3
Chile,2018,54.2
Chile,2019,52.8
Chile,2020,79.5
Chile,2021,81.9
Chile,2022,69.4
Estonia,2010,23.8
Estonia,2011,26.5
Estonia,2012,30.8
Estonia,2013,33.8
Estonia,2014,38.8
Estonia,2015,42.4
Estonia,2016,46
Estonia,2017,48.1
Estonia,2018,52
Estonia,2019,56.4
Estonia,2020,61.3
Estonia,2021,61.6
Estonia,2022,65.5
Israel,2012,52.5
Israel,2014,62
Israel,2015,64.4
Israel,2016,65.4
Israel,2017,65.3
Israel,2018,63.7
Israel,2019,65.8
Israel,2020,66.7
Israel,2021,66.4
Israel,2022,68.4
Slovenia,2010,54.8
Slovenia,2011,57.5
Slovenia,2012,58.2
Slovenia,2013,58.8
Slovenia,2014,58.6
Slovenia,2015,62
Slovenia,2016,65.7
Slovenia,2017,67.8
Slovenia,2018,70.1
Slovenia,2019,72.6
Slovenia,2020,73.6
Slovenia,2021,79.4
Slovenia,2022,83.8
Australia,2010,57.8
Australia,2011,59.6
Australia,2012,60.5
Australia,2013,57.5
Australia,2014,57.5
Australia,2015,57.5
Australia,2016,56.7
Australia,2017,57.1
Australia,2018,57.8
Australia,2019,57.5
Australia,2020,60
Australia,2021,62.4
Austria,2010,45.4
Austria,2011,46.3
Austria,2012,45.9
Austria,2013,46
Austria,2014,46.4
Austria,2015,46.3
Austria,2016,46.9
Austria,2017,47.2
Austria,2018,46.3
Austria,2019,47.5
Austria,2020,49.4
Austria,2021,49.2
Belgium,2010,60.5
Belgium,2011,61.7
Belgium,2012,63.2
Belgium,2013,65
Belgium,2014,66.3
Belgium,2015,68
Belgium,2016,70
Belgium,2017,71
Belgium,2018,72.8
Belgium,2019,75.8
Belgium,2020,78
Belgium,2021,77.7
Canada,2010,55.4
Canada,2011,57
Canada,2012,57.6
Canada,2013,58.1
Canada,2014,58.1
Canada,2015,58.3
Canada,2016,79
Canada,2017,81.9
Canada,2018,84.3
Canada,2019,86.4
Canada,2020,104.9
Canada,2021,124.5
Canada,2022,154.7
Czechia,2010,73.7
Czechia,2011,76.2
Czechia,2012,78.2
Czechia,2013,80.2
Czechia,2014,84.7
Czechia,2015,88
Czechia,2016,88.9
Czechia,2017,89.4
Czechia,2018,90.5
Czechia,2019,92.4
Czechia,2020,94.2
Czechia,2021,97.5
Denmark,2010,47.4
Denmark,2011,49
Denmark,2012,50.5
Denmark,2013,51.2
Denmark,2014,51.8
Denmark,2015,53
Denmark,2016,54.7
Denmark,2017,55.6
Denmark,2018,57
Denmark,2019,58.8
Denmark,2020,62
Denmark,2021,67
Finland,2010,83.3
Finland,2011,84.2
Finland,2012,84.8
Finland,2013,85.9
Finland,2014,88.1
Finland,2015,89.8
Finland,2016,92.3
Finland,2017,91.7
Finland,2018,95.8
Finland,2019,99.9
Finland,2020,101.8
Finland,2021,105.6
France,2010,72.9
France,2011,74.5
France,2012,80.2
France,2013,81.6
France,2014,81.3
France,2015,82.4
France,2016,84.5
France,2017,84
France,2018,84.8
France,2019,86.9
France,2020,85.6
France,2021,87.4
Germany,2010,81.4
Germany,2011,82.6
Germany,2012,83.2
Germany,2013,83.2
Germany,2014,83.6
Germany,2015,82.6
Germany,2016,83.8
Germany,2017,83.5
Germany,2018,85.9
Germany,2019,88.3
Germany,2020,91
Germany,2021,93.6
Greece,2013,85
Greece,2014,83.3
Greece,2015,86.2
Greece,2017,80.7
Greece,2018,81.9
Greece,2019,83.7
Greece,2020,88.1
Greece,2021,100.9
Greece,2022,98.4
Hungary,2010,70.7
Hungary,2011,74.5
Hungary,2012,75.3
Hungary,2013,77.5
Hungary,2014,76.2
Hungary,2015,69.9
Hungary,2016,72.4
Hungary,2017,74.2
Hungary,2018,75.4
Hungary,2019,77
Hungary,2020,79.2
Hungary,2021,76.4
Hungary,2022,75.3
Iceland,2010,31.7
Iceland,2011,38.1
Iceland,2012,38.9
Iceland,2013,41.9
Iceland,2014,42.3
Iceland,2015,44.9
Iceland,2016,46.5
Iceland,2017,47.2
Iceland,2018,48
Iceland,2019,48.7
Iceland,2020,51.1
Iceland,2021,54.8
Iceland,2022,57.9
Italy,2011,61.6
Italy,2012,62
Italy,2013,62.4
Italy,2014,61.8
Italy,2015,62
Italy,2016,62.2
Italy,2017,62.5
Italy,2018,63
Italy,2019,64
Italy,2020,64.8
Italy,2021,65.1
Italy,2022,67.2
Korea,2010,65.5
Korea,2011,64.1
Korea,2012,64.3
Korea,2013,65.4
Korea,2014,60.8
Korea,2015,61.7
Korea,2016,60.3
Korea,2017,63.1
Korea,2018,65.2
Korea,2019,67.8
Korea,2020,72.7
Korea,2021,78.5
Luxembourg,2010,63.8
Luxembourg,2011,64
Luxembourg,2012,63.4
Luxembourg,2013,64
Luxembourg,2014,64.6
Luxembourg,2015,65.2
Luxembourg,2016,64.9
Luxembourg,2017,64.2
Luxembourg,2018,64
Luxembourg,2019,65.1
Luxembourg,2020,64.5
Luxembourg,2021,63.8
Luxembourg,2022,60
Netherlands,2010,72.3
Netherlands,2011,72.9
Netherlands,2012,74.1
Netherlands,2013,75.1
Netherlands,2014,75
Netherlands,2015,75.8
Netherlands,2016,76.2
Netherlands,2017,77.2
Netherlands,2018,75.1
Netherlands,2019,76.9
Netherlands,2020,77.6
Netherlands,2021,78.5
New Zealand,2018,57
New Zealand,2019,57.2
New Zealand,2020,53
New Zealand,2021,54.9
New Zealand,2022,52.3
Norway,2010,48.3
Norway,2011,48.4
Norway,2012,48.4
Norway,2013,48.7
Norway,2014,50.1
Norway,2015,51.5
Norway,2016,53
Norway,2017,55.4
Norway,2018,56.2
Norway,2019,58.5
Norway,2020,59.9
Norway,2021,65.9
Norway,2022,76.8
Portugal,2010,62.5
Portugal,2011,58.6
Portugal,2012,61
Portugal,2013,62.7
Portugal,2014,64.5
Portugal,2015,67.2
Portugal,2016,68.5
Portugal,2017,67.9
Portugal,2018,70.4
Portugal,2019,74.2
Portugal,2020,76.7
Portugal,2021,78.6
Portugal,2022,85
Slovak Republic,2010,57.8
Slovak Republic,2011,61.3
Slovak Republic,2012,58
Slovak Republic,2013,65.6
Slovak Republic,2014,70.4
Slovak Republic,2015,75.2
Slovak Republic,2016,76.3
Slovak Republic,2017,76
Slovak Republic,2018,76.8
Slovak Republic,2019,78.6
Slovak Republic,2020,80.4
Slovak Republic,2021,79.5
Spain,2010,55.8
Spain,2011,56
Spain,2012,66.4
Spain,2013,66.6
Spain,2014,71.1
Spain,2015,72.9
Spain,2016,75.1
Spain,2017,76.4
Spain,2018,78.1
Spain,2019,79.6
Spain,2020,81.3
Spain,2021,84.7
Spain,2022,88.6
Sweden,2010,51.9
Sweden,2011,53
Sweden,2012,53.9
Sweden,2013,55.6
Sweden,2014,56.5
Sweden,2015,58.4
Sweden,2016,60.4
Sweden,2017,62.4
Sweden,2018,64.9
Sweden,2019,67.8
Sweden,2020,70.1
Sweden,2021,73.2
Sweden,2022,80.5
Türkiye,2010,47.5
Türkiye,2011,53.4
Türkiye,2012,56.2
Türkiye,2013,58.4
Türkiye,2014,61.1
Türkiye,2015,64.2
Türkiye,2016,66.5
Türkiye,2017,72.6
Türkiye,2018,75.4
Türkiye,2019,79.1
Türkiye,2020,91.9
Türkiye,2021,96.3
United Kingdom,2010,74.9
United Kingdom,2011,77.8
United Kingdom,2012,79.9
United Kingdom,2013,82.3
United Kingdom,2014,83.6
United Kingdom,2015,84.7
United Kingdom,2016,85.3
United Kingdom,2017,84.5
United Kingdom,2018,72.1
United Kingdom,2019,74.2
United Kingdom,2020,74.3
United Kingdom,2021,90
Chile,2011,34
Chile,2012,30.7
